title,year,genre,imdb_rating,metascore,votes,director,main_actor
Dr. No,1962,"Action, Adventure, Thriller",7.2,78,155880,Terence Young,Sean Connery
From Russia with Love,1963,"Action, Adventure, Thriller",7.4,83,125399,Terence Young,Sean Connery
Goldfinger,1964,"Action, Adventure, Thriller",7.7,87,179825,Guy Hamilton,Sean Connery
Thunderball,1965,"Action, Adventure, Thriller",7,64,111199,Terence Young,Sean Connery
You Only Live Twice,1967,"Action, Adventure, Thriller",6.9,61,102898,Lewis Gilbert,Sean Connery
On Her Majesty's Secret Service,1969,"Action, Adventure, Thriller",6.7,61,85119,Peter R. Hunt,George Lazenby
Diamonds Are Forever,1971,"Action, Adventure, Thriller",6.6,59,100363,Guy Hamilton,Sean Connery
Live and Let Die,1973,"Action, Adventure, Thriller",6.8,55,101299,Guy Hamilton,Roger Moore
The Man with the Golden Gun,1974,"Action, Adventure, Thriller",6.7,43,99737,Guy Hamilton,Roger Moore
The Spy Who Loved Me,1977,"Action, Adventure, Thriller",7.1,55,102627,Lewis Gilbert,Roger Moore
Moonraker,1979,"Action, Adventure, Sci-Fi",6.3,66,95087,Lewis Gilbert,Roger Moore
For Your Eyes Only,1981,"Action, Adventure, Thriller",6.7,54,95900,John Glen,Roger Moore
Octopussy,1983,"Action, Adventure, Thriller",6.5,63,100467,John Glen,Roger Moore
A View to a Kill,1985,"Action, Adventure, Thriller",6.3,40,92444,John Glen,Roger Moore
The Living Daylights,1987,"Action, Adventure, Thriller",6.7,60,92871,John Glen,Timothy Dalton
Licence to Kill,1989,"Action, Adventure, Thriller",6.6,58,98664,John Glen,Timothy Dalton
GoldenEye,1995,"Action, Adventure, Thriller",7.2,65,245478,Martin Campbell,Pierce Brosnan
Tomorrow Never Dies,1997,"Action, Adventure, Thriller",6.5,52,186552,Roger Spottiswoode,Pierce Brosnan
The World Is Not Enough,1999,"Action, Adventure, Crime",6.4,57,193318,Michael Apted,Pierce Brosnan
Die Another Day,2002,"Action, Adventure, Thriller",6.1,56,210749,Lee Tamahori,Pierce Brosnan
Casino Royale,2006,"Action, Adventure, Thriller",8,80,600935,Martin Campbell,Daniel Craig
Quantum of Solace,2008,"Action, Adventure, Thriller",6.6,58,416711,Marc Forster,Daniel Craig
Skyfall,2012,"Action, Adventure, Thriller",7.7,81,648167,Sam Mendes,Daniel Craig
Spectre,2015,"Action, Adventure, Thriller",6.8,60,397465,Sam Mendes,Daniel Craig
